"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"16393","Christian McCaffrey","RB","SF","6",1,1,1,1,"00-0033280"
"16421","Alvin Kamara","RB","NO","6",2,1,2,1,"00-0033906"
"16374","Dalvin Cook","RB","DAL","7",3,1,3,1,"00-0033893"
"12123","Davante Adams","WR","LV","8",4,1,1,1,"00-0031381"
"15514","Derrick Henry","RB","BAL","8",5,1,4,2,"00-0032764"
"15498","Ezekiel Elliott","RB","DAL","7",6,1,5,2,"00-0033045"
"16673","Aaron Jones","RB","MIN","7",7,1,6,2,"00-0033293"
"16483","Austin Ekeler","RB","WAS","9",8,2,7,2,"00-0033699"
"15802","Tyreek Hill","WR","MIA","14",9,2,2,1,"00-0033040"
"13981","Stefon Diggs","WR","HOU","10",10,2,3,1,"00-0031588"
"17240","Saquon Barkley","RB","PHI","14",11,2,8,2,"00-0034844"
"11606","DeAndre Hopkins","WR","TEN","13",12,2,5,2,"00-0030564"
"17258","Calvin Ridley","WR","TEN","13",13,2,4,2,"00-0034837"
"11594","Travis Kelce","TE","KC","12",14,2,1,1,"00-0030506"
"19217","Jonathan Taylor","RB","IND","14",15,2,9,3,"00-0036223"
"19236","Justin Jefferson","WR","MIN","7",16,3,6,2,"00-0036322"
"18219","DK Metcalf","WR","SEA","9",17,3,7,2,"00-0035640"
"19624","Antonio Gibson","RB","NE","14",18,3,10,3,"00-0036328"
"14104","Darren Waller","TE","FA",NA,19,3,2,1,"00-0031610"
"17246","Nick Chubb","RB","CLE","13",20,3,11,3,"00-0034791"
"18218","A.J. Brown","WR","PHI","14",21,3,9,2,"00-0035676"
"11616","Keenan Allen","WR","CHI","10",22,3,8,2,"00-0030279"
"19302","Najee Harris","RB","PIT","7",23,3,12,3,"00-0036893"
"16420","Joe Mixon","RB","HOU","10",24,3,13,3,"00-0033897"
"12126","Allen Robinson II","WR","DET","9",25,3,10,3,"00-0031428"
"16499","George Kittle","TE","SF","6",26,3,3,1,"00-0033288"
"16413","Patrick Mahomes II","QB","KC","12",27,3,1,1,"00-0033873"
"18466","Terry McLaurin","WR","WAS","9",28,3,11,3,"00-0035659"
"19325","Clyde Edwards-Helaire","RB","KC","12",29,3,14,3,"00-0036360"
"19202","CeeDee Lamb","WR","DAL","7",30,3,12,3,"00-0036358"
"19210","D'Andre Swift","RB","CHI","10",31,4,15,3,"00-0036275"
"11610","Robert Woods","WR","HOU","10",32,4,13,3,"00-0030431"
"13894","Amari Cooper","WR","CLE","13",33,4,14,3,"00-0031544"
"18239","David Montgomery","RB","DET","9",34,4,16,4,"00-0035685"
"16754","Chris Carson","RB","FA",NA,35,4,17,4,"00-0033594"
"16406","Chris Godwin","WR","TB","9",36,4,15,3,"00-0033921"
"16433","Cooper Kupp","WR","LAR","11",37,4,16,3,"00-0033908"
"19631","James Robinson","RB","FA",NA,38,4,18,4,"00-0035831"
"12119","Mike Evans","WR","TB","9",39,4,18,4,"00-0031408"
"18615","Diontae Johnson","WR","CAR","13",40,4,17,4,"00-0035216"
"17298","Josh Allen","QB","BUF","7",41,4,2,1,"00-0034857"
"17265","DJ Moore","WR","CHI","10",42,4,19,4,"00-0034827"
"13971","Tyler Lockett","WR","SEA","9",43,4,20,4,"00-0032211"
"9867","Julio Jones","WR","FA",NA,44,4,21,4,"00-0027944"
"18283","Miles Sanders","RB","CAR","13",45,4,19,4,"00-0035243"
"18600","Kyler Murray","QB","ARI","12",46,4,3,1,"00-0035228"
"19211","Tee Higgins","WR","CIN","10",47,4,22,4,"00-0036410"
"13429","Adam Thielen","WR","CAR","13",48,4,23,4,"00-0030035"
"18269","Josh Jacobs","RB","GB","13",49,4,20,4,"00-0035700"
