"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"19245","J.K. Dobbins","RB","LAC","5",140,8,44,5,"00-0036158"
"16377","Mike Williams","WR","NYJ","12",141,8,59,7,"00-0033536"
"19471","Ty Chandler","RB","MIN","6",142,8,46,6,"00-0037276"
"19201","Jerry Jeudy","WR","CLE","10",143,8,58,7,"00-0036407"
"25388","Trey Benson","RB","ARI","11",144,8,45,5,"00-0039921"
"25282","Luke Musgrave","TE","GB","10",145,8,15,4,"00-0039144"
"22987","Will Levis","QB","TEN","5",146,8,24,4,"00-0039152"
"17246","Nick Chubb","RB","CLE","10",147,8,48,6,"00-0034791"
"19624","Antonio Gibson","RB","NE","14",148,8,49,6,"00-0036328"
"19229","Cole Kmet","TE","CHI","7",149,8,17,4,"00-0036290"
"15561","Hunter Henry","TE","NE","14",150,8,19,4,"00-0033090"
"17598","Tyler Conklin","TE","NYJ","12",151,8,18,4,"00-0034270"
"13429","Adam Thielen","WR","CAR","11",152,8,60,7,"00-0030035"
"19398","Gabe Davis","WR","JAC","12",153,8,62,7,"00-0036196"
"24706","Josh Downs","WR","IND","14",154,8,64,7,"00-0038997"
"24354","Dontayvion Wicks","WR","GB","10",155,8,63,7,"00-0038393"
"19810","Darnell Mooney","WR","ATL","12",156,8,61,7,"00-0036309"
"26191","Ray Davis","RB","BUF","12",157,8,50,6,"00-0039875"
"25304","DeMario Douglas","WR","NE","14",158,8,65,7,"00-0038621"
"25987","Jaylen Wright","RB","MIA","6",159,8,51,6,"00-0039874"
"24357","Adonai Mitchell","WR","IND","14",160,8,67,7,"00-0039890"
"26205","Ja'Lynn Polk","WR","NE","14",161,8,66,7,"00-0039907"
"17115","Taysom Hill","TE","NO","12",162,8,21,4,"00-0033357"
"25333","Michael Wilson","WR","ARI","11",163,8,68,7,"00-0038559"
"22763","Khalil Herbert","RB","CHI","7",164,8,53,6,"00-0036906"
"23118","MarShawn Lloyd","RB","GB","10",165,8,52,6,"00-0039811"
"18232","Daniel Jones","QB","NYG","11",166,8,25,4,"00-0035710"
"23181","Cade Otton","TE","TB","11",167,8,20,4,"00-0038129"
"12092","Derek Carr","QB","NO","12",168,9,26,5,"00-0031280"
"25981","Bucky Irving","RB","TB","11",169,9,54,6,"00-0039361"
"22900","Bryce Young","QB","CAR","11",170,9,27,5,"00-0039150"
"8020","Baltimore Ravens","DST","BAL","14",171,9,1,1,NA
"22985","Wan'Dale Robinson","WR","NYG","11",172,9,69,7,"00-0038117"
"17527","Noah Fant","TE","SEA","10",173,9,22,4,"00-0035644"
"19794","Rashod Bateman","WR","BAL","14",174,9,70,7,"00-0036550"
"8270","San Francisco 49ers","DST","SF","9",175,9,3,1,NA
"8210","New York Jets","DST","NYJ","12",176,9,2,1,NA
"25322","Roschon Johnson","RB","CHI","7",177,9,57,6,"00-0039021"
"8080","Dallas Cowboys","DST","DAL","7",178,9,4,1,NA
"17236","Sam Darnold","QB","MIN","6",179,9,29,5,"00-0034869"
"19562","Juwan Johnson","TE","NO","12",180,9,23,4,"00-0036040"
"8070","Cleveland Browns","DST","CLE","10",181,9,5,2,NA
"26136","Xavier Legette","WR","CAR","11",182,9,71,7,"00-0039342"
"22910","Bo Nix","QB","DEN","14",183,9,28,5,"00-0039732"
"24346","Braelon Allen","RB","NYJ","12",184,9,56,6,"00-0039794"
"23781","Isaiah Likely","TE","BAL","14",185,9,24,4,"00-0037838"
"8240","Pittsburgh Steelers","DST","PIT","9",186,9,6,2,NA
"8150","Kansas City Chiefs","DST","KC","6",187,9,7,2,NA
"22969","Jordan Mason","RB","SF","9",188,9,55,6,"00-0037525"
"15665","Demarcus Robinson","WR","LAR","6",189,9,72,7,"00-0032775"
"23080","Marvin Mims Jr.","WR","DEN","14",190,9,74,8,"00-0038976"
"11465","Justin Tucker","K","BAL","14",191,9,1,1,"00-0029597"
"23982","Chig Okonkwo","TE","TEN","5",192,9,25,4,"00-0037809"
"26068","Brandon Aubrey","K","DAL","7",193,9,2,1,"00-0037692"
"8030","Buffalo Bills","DST","BUF","12",194,9,8,3,NA
"23101","Jahan Dotson","WR","PHI","5",195,9,73,7,"00-0037741"
"16712","Harrison Butker","K","KC","6",196,9,3,1,"00-0033303"
"8120","Houston Texans","DST","HOU","14",197,9,10,3,NA
"11180","Russell Wilson","QB","PIT","9",198,9,30,5,"00-0029263"
"15547","Tyler Boyd","WR","TEN","5",199,9,75,8,"00-0033009"
"8230","Philadelphia Eagles","DST","PHI","5",200,9,9,3,NA
"18621","Alexander Mattison","RB","LV","10",201,9,58,7,"00-0034972"
"17533","Jason Sanders","K","MIA","6",202,9,5,2,"00-0034794"
"22908","Tank Bigsby","RB","JAC","12",203,9,61,7,"00-0038555"
"16540","Jake Elliott","K","PHI","5",204,9,7,2,"00-0033787"
"8190","New Orleans Saints","DST","NO","12",205,9,13,3,NA
"16910","Younghoe Koo","K","ATL","12",206,9,8,2,"00-0033702"
"8050","Chicago Bears","DST","CHI","7",207,9,12,3,NA
"24009","Jake Moody","K","SF","9",208,9,6,2,"00-0038562"
"19760","Tyler Bass","K","BUF","12",209,9,9,2,"00-0036162"
"15756","Ka'imi Fairbairn","K","HOU","14",210,9,4,2,"00-0032726"
"16423","Samaje Perine","RB","KC","6",211,9,62,7,"00-0033526"
"8160","Miami Dolphins","DST","MIA","6",212,9,11,3,NA
"23054","Audric Estime","RB","DEN","14",213,9,59,7,"00-0039373"
"23297","Evan McPherson","K","CIN","12",214,9,10,2,"00-0036854"
"26355","Kimani Vidal","RB","LAC","5",215,9,60,7,"00-0039391"
"23179","Jalen McMillan","WR","TB","11",216,9,76,8,"00-0039855"
"23123","Quentin Johnston","WR","LAC","5",217,9,78,8,"00-0038544"
"18256","Justice Hill","RB","BAL","14",218,10,64,7,"00-0034975"
"18706","Darius Slayton","WR","NYG","11",219,10,77,8,"00-0035535"
"22980","Tyrone Tracy Jr.","RB","NYG","11",220,10,63,7,"00-0039384"
"17272","Mike Gesicki","TE","CIN","12",221,10,26,5,"00-0034829"
"23310","Kenneth Gainwell","RB","PHI","5",222,10,65,7,"00-0036919"
"25298","Tucker Kraft","TE","GB","10",223,10,28,5,"00-0038996"
"22956","Jermaine Burton","WR","CIN","12",224,10,81,8,"00-0039810"
"25335","Andrei Iosivas","WR","CIN","12",225,10,79,8,"00-0038619"
"22947","Dameon Pierce","RB","HOU","14",226,10,67,7,"00-0037258"
"25251","Jalin Hyatt","WR","NYG","11",227,10,80,8,"00-0038938"
"26310","Ben Sinnott","TE","WAS","14",228,10,27,5,"00-0039912"
"16424","Jamaal Williams","RB","NO","12",229,10,66,7,"00-0033948"
"18545","Matt Gay","K","IND","14",230,10,11,3,"00-0035269"
"20114","Elijah Moore","WR","CLE","10",231,10,82,8,"00-0036980"
"24360","Kendre Miller","RB","NO","12",232,10,68,7,"00-0038551"
"23046","Drake Maye","QB","NE","14",233,10,31,5,"00-0039851"
"26160","Roman Wilson","WR","PIT","9",234,10,83,8,"00-0039739"
"23901","Cameron Dicker","K","LAC","5",235,10,12,3,"00-0037224"
"8130","Indianapolis Colts","DST","IND","14",236,10,15,4,NA
"18283","Miles Sanders","RB","CAR","11",237,10,69,7,"00-0035243"
"23056","Michael Mayer","TE","LV","10",238,10,29,5,"00-0039066"
"16460","Jonnu Smith","TE","MIA","6",239,10,30,5,"00-0033858"
"18585","Greg Dortch","WR","ARI","11",240,10,87,8,"00-0035500"
"19781","Justin Fields","QB","PIT","9",241,10,32,5,"00-0036945"
"8100","Detroit Lions","DST","DET","5",242,10,14,4,NA
"18562","Gardner Minshew II","QB","LV","10",243,10,33,5,"00-0035289"
"26214","Ricky Pearsall","WR","SF","9",244,10,85,8,"00-0039916"
"26023","Malachi Corley","WR","NYJ","12",245,10,84,8,"00-0039920"
"13731","Cairo Santos","K","CHI","7",246,10,13,3,"00-0031203"
"11689","Zach Ertz","TE","WAS","14",247,10,33,5,"00-0030061"
"17066","Kendrick Bourne","WR","NE","14",248,10,89,8,"00-0033307"
"17292","DJ Chark Jr.","WR","LAC","5",249,10,88,8,"00-0034777"
"23092","Troy Franklin","WR","DEN","14",250,10,91,8,"00-0039868"
"26194","Dylan Laube","RB","LV","10",251,10,71,7,"00-0039407"
"22930","Will Shipley","RB","PHI","5",252,10,70,7,"00-0039746"
"11818","Dustin Hopkins","K","CLE","10",253,10,14,3,"00-0030098"
"26328","Luke McCaffrey","WR","WAS","14",254,10,90,8,"00-0039355"
"16439","Josh Reynolds","WR","DEN","14",255,10,86,8,"00-0033943"
"16407","D'Onta Foreman","RB","CLE","10",256,10,73,7,"00-0033925"
"24334","Ja'Tavion Sanders","TE","CAR","11",257,10,32,5,"00-0039356"
"19425","Trey Sermon","RB","IND","14",258,10,72,7,"00-0036984"
"25360","Keaton Mitchell","RB","BAL","14",259,10,75,7,"00-0038454"
"14003","Jason Myers","K","SEA","10",260,10,15,3,"00-0031492"
"18631","Dawson Knox","TE","BUF","12",261,10,31,5,"00-0035689"
"19325","Clyde Edwards-Helaire","RB","KC","6",262,10,74,7,"00-0036360"
"16459","Gerald Everett","TE","CHI","7",263,10,34,5,"00-0033895"
"23770","Jalen Tolbert","WR","DAL","7",264,10,93,8,"00-0037666"
"23030","Jonathan Mingo","WR","CAR","11",265,10,94,8,"00-0039062"
"22885","Javon Baker","WR","NE","14",266,10,92,8,"00-0039853"
"23153","Greg Dulcich","TE","DEN","14",267,10,35,5,"00-0037252"
"8060","Cincinnati Bengals","DST","CIN","12",268,10,16,4,NA
"19268","Cam Akers","RB","HOU","14",269,10,76,7,"00-0036414"
"12127","Odell Beckham Jr.","WR","MIA","6",270,10,96,8,"00-0031235"
"22905","Treylon Burks","WR","TEN","5",271,10,97,8,"00-0037742"
"11613","Cordarrelle Patterson","RB","PIT","9",272,10,77,7,"00-0030578"
"23075","Eric Gray","RB","NYG","11",273,10,78,7,"00-0038396"
"19708","K.J. Osborn","WR","NE","14",274,11,95,8,"00-0036345"
"24353","A.T. Perry","WR","NO","12",275,11,98,8,"00-0038612"
"8140","Jacksonville Jaguars","DST","JAC","12",276,11,18,4,NA
"11345","Greg Zuerlein","K","NYJ","12",277,11,16,3,"00-0029621"
"16431","Zay Jones","WR","ARI","11",278,11,100,9,"00-0033891"
