"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"25758","Xavier Gipson","WR","NYJ","12",347,12,125,9,"00-0038496"
"19539","Noah Gray","TE","KC","6",348,12,44,6,"00-0036637"
"18225","Drew Lock","QB","NYG","11",349,12,38,5,"00-0035704"
"8290","Tampa Bay Buccaneers","DST","TB","11",350,12,23,5,NA
"24177","Jalen Nailor","WR","MIN","6",351,12,131,9,"00-0037291"
"13891","Jameis Winston","QB","CLE","10",352,12,40,6,"00-0031503"
"17530","Ray-Ray McCloud III","WR","ATL","12",353,12,135,10,"00-0034407"
"26075","Jake Bates","K","DET","5",354,12,25,4,NA
"19445","Joshua Kelley","RB","FA",NA,355,12,101,9,"00-0036370"
"19298","Donovan Peoples-Jones","WR","FA",NA,356,12,126,9,"00-0036233"
"16374","Dalvin Cook","RB","FA",NA,357,12,102,9,"00-0033893"
"23837","Erick All Jr.","TE","CIN","12",358,12,46,6,NA
"26372","Carson Steele","RB","KC","6",359,12,107,9,NA
"17826","Tanner Hudson","TE","CIN","12",360,12,47,6,"00-0034613"
"17603","Justin Watson","WR","KC","6",361,12,128,9,"00-0034386"
"18463","Parris Campbell","WR","PHI","5",362,12,134,10,"00-0035639"
"25977","Isaiah Davis","RB","NYJ","12",363,12,103,9,NA
"23106","Parker Washington","WR","JAC","12",364,12,129,9,"00-0038606"
"17058","Matt Breida","RB","FA",NA,365,12,105,9,"00-0033308"
"26329","Jawhar Jordan","RB","HOU","14",366,12,106,9,NA
"17297","Nyheim Hines","RB","CLE","10",367,12,108,9,"00-0034367"
"17262","Cedrick Wilson Jr.","WR","NO","12",368,12,133,10,"00-0034418"
"23905","Skyy Moore","WR","KC","6",369,12,127,9,"00-0038090"
"18604","Jarrett Stidham","QB","DEN","14",370,12,41,6,"00-0035264"
"18487","Josh Oliver","TE","MIN","6",371,12,49,6,"00-0035249"
"22895","John Metchie III","WR","HOU","14",372,12,132,9,"00-0037614"
"25295","Johnny Wilson","WR","PHI","5",373,12,130,9,NA
"25269","Cade Stover","TE","HOU","14",374,12,51,6,NA
"23742","Jeremy Ruckert","TE","NYJ","12",375,12,48,6,"00-0037805"
"16026","Wil Lutz","K","DEN","14",376,12,19,4,"00-0032569"
"19074","Craig Reynolds","RB","DET","5",377,12,104,9,"00-0035567"
"16743","Johnny Mundt","TE","MIN","6",378,13,54,7,"00-0033246"
"20162","Brevin Jordan","TE","HOU","14",379,13,50,6,"00-0036556"
"17793","Brandon Powell","WR","MIN","6",380,13,137,10,"00-0034646"
"8010","Atlanta Falcons","DST","ATL","12",381,13,26,5,NA
"16489","Mack Hollins","WR","BUF","12",382,13,136,10,"00-0033555"
"8200","New York Giants","DST","NYG","11",383,13,25,5,NA
"20155","Jaret Patterson","RB","LAC","5",384,13,110,9,"00-0036755"
"8260","Seattle Seahawks","DST","SEA","10",385,13,24,5,NA
"22795","Tommy Tremble","TE","CAR","11",386,13,53,7,"00-0037005"
"18557","Jake Browning","QB","CIN","12",387,13,42,6,"00-0035100"
"16427","JuJu Smith-Schuster","WR","KC","6",388,13,138,10,"00-0033857"
"18345","Hunter Renfrow","WR","FA",NA,389,13,141,10,"00-0034983"
"18864","Olamide Zaccheaus","WR","WAS","14",390,13,139,10,"00-0035208"
"15581","Austin Hooper","TE","NE","14",391,13,52,7,"00-0032392"
"23761","Davis Allen","TE","LAR","6",392,13,57,7,"00-0039074"
"8250","Los Angeles Chargers","DST","LAC","5",393,13,28,5,NA
