"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"19788","Ja'Marr Chase","WR","CIN","6",1,1,1,1,"00-0036900"
"22968","Jahmyr Gibbs","RB","DET","6",2,1,1,1,"00-0039139"
"23180","Puka Nacua","WR","LAR","11",3,1,2,1,"00-0039075"
"23133","Bijan Robinson","RB","ATL","11",4,1,2,1,"00-0038542"
"23070","Jaxon Smith-Njigba","WR","SEA","11",5,1,3,1,"00-0038543"
"19799","Amon-Ra St. Brown","WR","DET","6",6,1,4,1,"00-0036963"
"19202","CeeDee Lamb","WR","DAL","14",7,2,5,2,"00-0036358"
"16393","Christian McCaffrey","RB","SF","8",8,2,3,1,"00-0033280"
"19236","Justin Jefferson","WR","MIN","6",9,2,6,2,"00-0036322"
"19217","Jonathan Taylor","RB","IND","13",10,2,4,1,"00-0036223"
"23163","Drake London","WR","ATL","11",11,2,7,2,"00-0037238"
"18218","A.J. Brown","WR","NE","11",12,3,8,2,"00-0035676"
"22958","James Cook III","RB","BUF","7",13,3,5,2,"00-0037248"
"20130","Nico Collins","WR","HOU","8",14,3,9,2,"00-0036554"
"25324","Chase Brown","RB","CIN","6",15,3,6,2,"00-0038597"
"20111","Chris Olave","WR","NO","8",16,3,10,2,"00-0037239"
"22955","Brock Bowers","TE","LV","13",17,3,1,1,"00-0039338"
"22936","Trey McBride","TE","ARI","14",18,3,2,1,"00-0037744"
"22963","George Pickens","WR","DAL","14",19,3,11,3,"00-0037247"
"23136","De'Von Achane","RB","MIA","6",20,3,7,2,"00-0039040"
"17240","Saquon Barkley","RB","PHI","10",21,4,8,2,"00-0034844"
"19222","DeVonta Smith","WR","PHI","10",22,4,13,3,"00-0036912"
"25409","Malik Nabers","WR","NYG","8",23,4,12,3,"00-0039337"
"23021","Kenneth Walker III","RB","KC","5",24,4,9,2,"00-0038134"
"23113","Rashee Rice","WR","KC","5",25,4,14,3,"00-0039067"
"25395","Omarion Hampton","RB","LAC","7",26,4,10,2,"00-0040666"
"17298","Josh Allen","QB","BUF","7",27,4,1,1,"00-0034857"
"25989","Ashton Jeanty","RB","LV","13",28,4,11,2,"00-0040122"
"23072","Garrett Wilson","WR","NYJ","13",29,4,16,3,"00-0037740"
"22916","Zay Flowers","WR","BAL","13",30,4,15,3,"00-0039064"
"17233","Lamar Jackson","QB","BAL","13",31,4,2,1,"00-0034796"
"26122","Ladd McConkey","WR","LAC","7",32,4,17,3,"00-0039915"
"19790","Jaylen Waddle","WR","DEN","10",33,4,18,3,"00-0036613"
"25417","Tetairoa McMillan","WR","CAR","5",34,4,19,3,"00-0040124"
"26006","Colston Loveland","TE","CHI","10",35,5,3,1,"00-0040126"
"19211","Tee Higgins","WR","CIN","6",36,5,20,3,"00-0036410"
"15514","Derrick Henry","RB","BAL","13",37,5,12,3,"00-0032764"
"23046","Drake Maye","QB","NE","11",38,5,3,1,"00-0039851"
"22982","Breece Hall","RB","NYJ","13",39,5,13,3,"00-0038120"
"23062","Emeka Egbuka","WR","TB","10",40,5,21,4,"00-0040129"
"23059","Kyren Williams","RB","LAR","11",41,5,15,3,"00-0037840"
"25403","Jeremiyah Love","RB","ARI","14",42,5,14,3,"00-0041027"
"22739","Javonte Williams","RB","DAL","14",43,5,16,3,"00-0036997"
"19196","Joe Burrow","QB","CIN","6",44,5,4,2,"00-0036442"
"19231","Travis Etienne Jr.","RB","NO","8",45,5,17,4,"00-0036973"
"27016","Luther Burden III","WR","CHI","10",46,5,22,4,"00-0040735"
"18466","Terry McLaurin","WR","WAS","7",47,5,23,4,"00-0035659"
"18269","Josh Jacobs","RB","GB","11",48,5,18,4,"00-0035700"
"12123","Davante Adams","WR","LAR","11",49,5,24,4,"00-0031381"
"17265","DJ Moore","WR","BUF","7",50,5,25,4,"00-0034827"
