"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"19788","Ja'Marr Chase","WR","CIN","10",1,1,1,1,"00-0036900"
"23133","Bijan Robinson","RB","ATL","5",2,1,1,1,"00-0038542"
"19202","CeeDee Lamb","WR","DAL","10",3,1,2,1,"00-0036358"
"19236","Justin Jefferson","WR","MIN","6",4,1,3,1,"00-0036322"
"22968","Jahmyr Gibbs","RB","DET","8",5,1,2,1,"00-0039139"
"17240","Saquon Barkley","RB","PHI","9",6,2,3,1,"00-0034844"
"25409","Malik Nabers","WR","NYG","14",7,2,4,2,"00-0039337"
"19799","Amon-Ra St. Brown","WR","DET","8",8,2,5,2,"00-0036963"
"23180","Puka Nacua","WR","LAR","8",9,2,6,2,"00-0039075"
"20130","Nico Collins","WR","HOU","6",10,2,7,2,"00-0036554"
"16393","Christian McCaffrey","RB","SF","14",11,2,4,1,"00-0033280"
"23000","Brian Thomas Jr.","WR","JAC","8",12,2,8,2,"00-0039893"
"23163","Drake London","WR","ATL","5",13,2,9,2,"00-0037238"
"25989","Ashton Jeanty","RB","LV","8",14,3,5,2,NA
"18218","A.J. Brown","WR","PHI","9",15,3,10,3,"00-0035676"
"22955","Brock Bowers","TE","LV","8",16,3,1,1,"00-0039338"
"23136","De'Von Achane","RB","MIA","12",17,3,6,2,"00-0039040"
"26122","Ladd McConkey","WR","LAC","12",18,3,11,3,"00-0039915"
"15514","Derrick Henry","RB","BAL","7",19,3,7,2,"00-0032764"
"22936","Trey McBride","TE","ARI","8",20,3,2,1,"00-0037744"
"23070","Jaxon Smith-Njigba","WR","SEA","8",21,3,12,3,"00-0038543"
"19211","Tee Higgins","WR","CIN","10",22,4,13,3,"00-0036410"
"17298","Josh Allen","QB","BUF","7",23,4,1,1,"00-0034857"
"25324","Chase Brown","RB","CIN","10",24,4,8,2,"00-0038597"
"23072","Garrett Wilson","WR","NYJ","9",25,4,14,3,"00-0037740"
"17233","Lamar Jackson","QB","BAL","7",26,4,2,1,"00-0034796"
"25981","Bucky Irving","RB","TB","9",27,4,9,2,"00-0039361"
"15802","Tyreek Hill","WR","MIA","12",28,4,15,3,"00-0033040"
"18269","Josh Jacobs","RB","GB","5",29,4,10,3,"00-0035700"
"19217","Jonathan Taylor","RB","IND","11",30,4,11,3,"00-0036223"
"16499","George Kittle","TE","SF","14",31,4,3,1,"00-0033288"
"12123","Davante Adams","WR","LAR","8",32,4,16,3,"00-0031381"
"22902","Jayden Daniels","QB","WAS","12",33,4,3,1,"00-0039910"
"12119","Mike Evans","WR","TB","9",34,4,17,3,"00-0031408"
"23059","Kyren Williams","RB","LAR","8",35,4,12,3,"00-0037840"
"19275","Jalen Hurts","QB","PHI","9",36,5,4,1,"00-0036389"
"23064","Marvin Harrison Jr.","WR","ARI","8",37,5,18,4,"00-0039849"
"17265","DJ Moore","WR","CHI","5",38,5,19,4,"00-0034827"
"16421","Alvin Kamara","RB","NO","11",39,5,13,3,"00-0033906"
"18466","Terry McLaurin","WR","WAS","12",40,5,20,4,"00-0035659"
"23021","Kenneth Walker III","RB","SEA","8",41,5,14,3,"00-0038134"
"22958","James Cook","RB","BUF","7",42,5,15,3,"00-0037248"
"17253","Courtland Sutton","WR","DEN","12",43,5,21,4,"00-0034348"
"22982","Breece Hall","RB","NYJ","9",44,5,17,4,"00-0038120"
"18219","DK Metcalf","WR","PIT","5",45,5,22,4,"00-0035640"
"25395","Omarion Hampton","RB","LAC","12",46,5,16,3,NA
"19196","Joe Burrow","QB","CIN","10",47,5,5,2,"00-0036442"
"19222","DeVonta Smith","WR","PHI","9",48,5,23,4,"00-0036912"
"19792","Chuba Hubbard","RB","CAR","14",49,5,18,4,"00-0036555"
"25417","Tetairoa McMillan","WR","CAR","14",50,5,24,4,NA
"16447","James Conner","RB","ARI","8",51,5,19,4,"00-0033553"
"23065","TreVeyon Henderson","RB","NE","14",52,6,20,4,NA
"19790","Jaylen Waddle","WR","MIA","12",53,6,25,4,"00-0036613"
"23019","Xavier Worthy","WR","KC","10",54,6,26,4,"00-0039894"
"22916","Zay Flowers","WR","BAL","7",55,6,28,5,"00-0039064"
"17258","Calvin Ridley","WR","TEN","10",56,6,29,5,"00-0034837"
"22963","George Pickens","WR","DAL","10",57,6,27,5,"00-0037247"
"23677","Jameson Williams","WR","DET","8",58,6,30,5,"00-0037240"
"18705","Tony Pollard","RB","TEN","10",59,6,22,4,"00-0035261"
"19210","D'Andre Swift","RB","CHI","5",60,6,21,4,"00-0036275"
"16413","Patrick Mahomes II","QB","KC","10",61,6,6,2,"00-0033873"
"18290","T.J. Hockenson","TE","MIN","6",62,6,4,2,"00-0035229"
"20111","Chris Olave","WR","NO","11",63,6,31,5,"00-0037239"
"18239","David Montgomery","RB","DET","8",64,6,24,4,"00-0035685"
"27142","RJ Harvey","RB","DEN","12",65,6,23,4,NA
"16673","Aaron Jones Sr.","RB","MIN","6",66,6,25,4,"00-0033293"
"23113","Rashee Rice","WR","KC","10",67,6,32,5,"00-0039067"
"24333","Isiah Pacheco","RB","KC","10",68,6,26,4,"00-0037197"
"19201","Jerry Jeudy","WR","CLE","9",69,6,33,5,"00-0036407"
"17237","Baker Mayfield","QB","TB","9",70,6,7,2,"00-0034855"
"26034","Travis Hunter","WR","JAC","8",71,7,34,5,NA
"22978","Sam LaPorta","TE","DET","8",72,7,5,2,"00-0039065"
"22910","Bo Nix","QB","DEN","12",73,7,8,2,"00-0039732"
"25411","Rome Odunze","WR","CHI","5",74,7,35,5,"00-0039919"
"11594","Travis Kelce","TE","KC","10",75,7,6,2,"00-0030506"
"13981","Stefon Diggs","WR","NE","14",76,7,36,5,"00-0031588"
"18598","Jakobi Meyers","WR","LV","8",77,7,37,5,"00-0034960"
"22980","Tyrone Tracy Jr.","RB","NYG","14",78,7,28,5,"00-0039384"
"18600","Kyler Murray","QB","ARI","8",79,7,9,3,"00-0035228"
"24209","Jaylen Warren","RB","PIT","5",80,7,27,5,"00-0037228"
"16399","David Njoku","TE","CLE","9",81,7,7,2,"00-0033885"
"26214","Ricky Pearsall","WR","SF","14",82,7,38,5,"00-0039916"
"16411","Evan Engram","TE","DEN","12",83,7,8,2,"00-0033881"
"15600","Dak Prescott","QB","DAL","10",84,7,10,3,"00-0033077"
"23062","Emeka Egbuka","WR","TB","9",85,7,39,5,NA
"17269","Mark Andrews","TE","BAL","7",86,7,9,2,"00-0034753"
"27165","Kaleb Johnson","RB","PIT","5",87,7,29,5,NA
"19231","Travis Etienne Jr.","RB","JAC","8",88,7,30,5,"00-0036973"
"19797","Brock Purdy","QB","SF","14",89,7,11,3,"00-0037834"
"23748","Khalil Shakir","WR","BUF","7",90,7,40,6,"00-0037261"
"23107","Jordan Addison","WR","MIN","6",91,7,42,6,"00-0038994"
"19590","Jauan Jennings","WR","SF","14",92,7,41,6,"00-0036259"
"19781","Justin Fields","QB","NYJ","9",93,8,12,3,"00-0036945"
"18244","Deebo Samuel Sr.","WR","WAS","12",94,8,43,6,"00-0035719"
"18635","Justin Herbert","QB","LAC","12",95,8,13,3,"00-0036355"
"19278","Michael Pittman Jr.","WR","IND","11",96,8,44,6,"00-0036252"
"24706","Josh Downs","WR","IND","11",97,8,45,6,"00-0038997"
"23084","Caleb Williams","QB","CHI","5",98,8,14,3,"00-0039918"
"23152","Zach Charbonnet","RB","SEA","8",99,8,31,5,"00-0039165"
"23046","Drake Maye","QB","NE","14",100,8,15,3,"00-0039851"
"22739","Javonte Williams","RB","DAL","10",101,8,32,5,"00-0036997"
"16406","Chris Godwin Jr.","WR","TB","9",102,8,46,6,"00-0033921"
"15501","Jared Goff","QB","DET","8",103,8,16,3,"00-0033106"
"16433","Cooper Kupp","WR","SEA","8",104,8,47,6,"00-0033908"
"22969","Jordan Mason","RB","MIN","6",105,8,33,5,"00-0037525"
"25298","Tucker Kraft","TE","GB","5",106,8,11,3,"00-0038996"
"26434","Tyler Warren","TE","IND","11",107,8,10,3,NA
"16420","Joe Mixon","RB","HOU","6",108,8,34,5,"00-0033897"
"23020","Jayden Reed","WR","GB","5",109,8,48,6,"00-0039146"
"19246","Jordan Love","QB","GB","5",110,8,17,4,"00-0036264"
